fractions,8.699702730002716
denser,4.754887502163469
observed,4.0867802843972765
gfp-rab21,3.965784284662087
integrin,3.5097750043269373
fig.,3.0930806868618737
integrins,2.3398500028846247
expression,2.051070184214275
cells,2.013838827879581
gfp-rab21gtp,1.5849625007211563
cosedimentation,1.5849625007211563
rab21-expressing,1.5849625007211563
targets,1.5849625007211563
cofractionated,1.5849625007211563
golgi-marker,1.5849625007211563
marker,1.5849625007211563
shifted,1.5849625007211563
abundance,1.5849625007211563
p115,1.5849625007211563
rab-positive,1.5849625007211563
hughes,1.5849625007211563
toward,1.5849625007211563
endocytic,1.5849625007211563
lighter,1.5849625007211563
gm130,1.5849625007211563
pool,1.5849625007211563
http://www.jcb.org/cgi/content/full/jcb.200509019/dc1,1.5849625007211563
gfp-rab21gdp,1.5849625007211563
eea1,1.5849625007211563
cosediment,1.5849625007211563
vesicles,1.5849625007211563
fractionations,1.5849625007211563
gradient,1.3219280948873624
er,1.3219280948873624
density,1.222392421336448
available,1.222392421336448
α2-integrin,1.1375035237499351
fraction,1.1154772174199359
s3,1.1154772174199359
shift,1.0995356735509143
suggests,1.0874628412503395
upon,1.070389327891398
rab21,1.070389327891398
human,1.0544477840223765
endogenous,1.0443941193584534
whereas,1.0443941193584534
together,1.0443941193584534
found,1.0356239097307214
fig,1.0339473319233377
al.,1.0324214776923775
also,1.0166787411466305
et,1.0152667566533107
data,1.0149503414659717
